"ST";"CLV";"Resp.";"COV";"EDUC";"EMPS";"GEN";"INC";"LOCC";"MARS";"MPA";"MSLC";"MSPI";"NOP";"PT";"TCA";"VC";"VS"
"CAL";2621.808611;"No";"BAS";"COLL";"EMP";"F";36843;"SUBU";"MAR";68;12;11;1;"CORP";357.642982;"4D";"M"
"CAL";28799.95415;"No";"EXT";"COLL";"EMP";"M";33635;"SUBU";"MAR";240;1;23;2;"PERS";1152;"LUXS";"M"
"CAL";21569.33731;"No";"BAS";"BACH";"RET";"M";23909;"SUBU";"SING";119;21;86;2;"PERS";571.2;"SUV";"M"
"CAL";10179.71704;"Yes";"PREM";"BACH";"RET";"F";14290;"SUBU";"MAR";271;20;40;1;"PERS";1300.8;"LUXS";"M"
"OR";3819.619502;"No";"PREM";"HSOB";"UNEMP";"M";0;"SUBU";"SING";111;29;76;1;"PERS";799.2;"2D";"S"
"CAL";2615.911934;"No";"BAS";"MAST";"UNEMP";"M";0;"SUBU";"MAR";71;22;45;1;"PERS";340.8;"2D";"M"
"CAL";4490.597249;"No";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"DIV";64;26;11;7;"PERS";307.2;"4D";"M"
"CAL";6412.368115;"No";"EXT";"BACH";"EMP";"M";58776;"SUBU";"DIV";83;20;50;4;"PERS";478.750667;"4D";"M"
"NEV";22754.66137;"No";"BAS";"BACH";"EMP";"M";51437;"RUR";"MAR";115;35;30;2;"CORP";244.086665;"SUV";"M"
"OR";6005.214792;"Yes";"EXT";"HSOB";"EMP";"M";26876;"SUBU";"SING";76;17;72;8;"CORP";364.8;"4D";"M"
"OR";18726.15325;"No";"PREM";"HSOB";"UNEMP";"F";0;"SUBU";"SING";185;7;47;2;"PERS";1543.932434;"SUV";"M"
"CAL";2453.570794;"Yes";"BAS";"BACH";"ML";"M";29735;"SUBU";"SING";69;3;92;1;"PERS";331.2;"4D";"M"
"WASH";12298.6863;"Yes";"BAS";"HSOB";"ML";"M";17101;"SUBU";"SING";113;1;88;2;"CORP";542.4;"SUV";"M"
"CAL";16373.7273;"No";"BAS";"HSOB";"EMP";"M";64396;"URB";"MAR";103;2;46;2;"SPEC";355.409311;"SUV";"M"
"OR";8385.252347;"No";"BAS";"BACH";"UNEMP";"F";0;"SUBU";"SING";116;0;35;7;"PERS";556.8;"SPO";"M"
"CAL";9246.223462;"No";"BAS";"BACH";"EMP";"F";40032;"SUBU";"MAR";118;1;50;7;"PERS";717.763724;"SUV";"M"
"CAL";3107.568648;"No";"EXT";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";94;34;59;1;"PERS";451.2;"2D";"M"
"WASH";2577.514741;"No";"BAS";"BACH";"EMP";"F";49467;"SUBU";"DIV";65;1;96;1;"PERS";413.695258;"2D";"S"
"CAL";7633.821822;"No";"BAS";"HSOB";"UNEMP";"F";0;"SUBU";"DIV";67;7;4;2;"PERS";445.702958;"4D";"M"
"CAL";5505.167392;"No";"BAS";"COLL";"RET";"F";15648;"SUBU";"MAR";73;29;68;5;"SPEC";413.269261;"2D";"M"
"AR";5372.914477;"No";"BAS";"BACH";"EMP";"M";50405;"RUR";"DIV";70;6;21;9;"PERS";7.069583;"4D";"M"
"NEV";6091.89923;"No";"EXT";"BACH";"EMP";"M";65252;"SUBU";"DIV";78;27;75;9;"PERS";482.48791;"4D";"M"
"OR";8543.247323;"No";"BAS";"BACH";"EMP";"M";99180;"RUR";"MAR";106;15;20;3;"PERS";33.751887;"SUV";"S"
"AR";4871.15057;"No";"BAS";"COLL";"EMP";"M";72648;"RUR";"MAR";61;0;78;5;"PERS";120.850664;"4D";"L"
"AR";6803.596768;"No";"PREM";"HSOB";"EMP";"M";43758;"SUBU";"MAR";171;16;29;1;"CORP";1129.929433;"SUV";"M"
"AR";3837.357574;"No";"EXT";"HSOB";"ML";"M";23051;"SUBU";"DIV";99;31;86;1;"PERS";475.2;"2D";"M"
"CAL";4974.801539;"Yes";"BAS";"BACH";"EMP";"M";75644;"SUBU";"DIV";65;5;68;9;"PERS";467.803638;"2D";"M"
"NEV";2656.522604;"No";"EXT";"COLL";"UNEMP";"F";0;"SUBU";"SING";78;23;93;1;"PERS";374.4;"4D";"M"
"OR";13668.35528;"No";"PREM";"COLL";"UNEMP";"F";0;"SUBU";"SING";197;5;50;9;"PERS";1418.4;"SUV";"M"
"NEV";6722.701247;"No";"EXT";"HSOB";"UNEMP";"F";0;"SUBU";"SING";93;8;48;8;"PERS";669.6;"4D";"M"
"OR";2519.918897;"No";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"MAR";67;11;26;1;"PERS";482.4;"4D";"M"
"CAL";2753.780996;"No";"BAS";"HSOB";"UNEMP";"F";0;"URB";"MAR";73;29;82;1;"PERS";298.671049;"4D";"M"
"CAL";3567.503755;"Yes";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"MAR";102;28;11;1;"PERS";660.430456;"SUV";"M"
"AR";4895.811925;"No";"BAS";"COLL";"EMP";"F";54495;"URB";"MAR";61;7;3;8;"PERS";182.350945;"4D";"M"
"CAL";3842.794699;"No";"EXT";"MAST";"EMP";"M";97832;"RUR";"MAR";95;5;98;1;"PERS";107.661239;"2D";"M"
"CAL";33718.8424;"No";"BAS";"BACH";"ML";"M";27500;"URB";"DIV";114;25;47;2;"CORP";472.280461;"SUV";"L"
"OR";7771.158973;"No";"BAS";"MAST";"ML";"M";21876;"SUBU";"MAR";68;12;28;2;"PERS";465.41477;"4D";"S"
"OR";6262.663307;"No";"PREM";"COLL";"EMP";"M";30110;"URB";"MAR";159;20;71;1;"CORP";466.436375;"SPO";"S"
"CAL";14866.45116;"No";"EXT";"HSOB";"EMP";"F";24279;"SUBU";"MAR";126;16;97;2;"PERS";604.8;"SPO";"M"
"NEV";2783.583044;"No";"BAS";"BACH";"EMP";"M";42297;"URB";"MAR";71;29;62;1;"PERS";200.38673;"4D";"M"
"AR";7423.899674;"No";"BAS";"MAST";"EMP";"F";36639;"SUBU";"DIV";62;16;34;2;"PERS";297.6;"4D";"S"
"CAL";2389.980951;"No";"BAS";"BACH";"EMP";"M";27615;"SUBU";"MAR";62;19;18;1;"PERS";297.6;"4D";"M"
"OR";2831.683664;"No";"BAS";"BACH";"EMP";"F";70037;"SUBU";"MAR";70;6;61;1;"PERS";409.985435;"4D";"L"
"OR";2514.428561;"No";"BAS";"HSOB";"ML";"F";23504;"SUBU";"SING";69;19;56;1;"CORP";374.399828;"2D";"S"
"CAL";7731.713059;"No";"EXT";"COLL";"EMP";"F";37386;"SUBU";"MAR";97;1;4;3;"CORP";465.6;"4D";"L"
"OR";28511.03331;"No";"PREM";"HSOB";"EMP";"M";27607;"SUBU";"MAR";104;15;56;2;"CORP";640.584145;"4D";"M"
"WASH";3261.01744;"No";"EXT";"BACH";"UNEMP";"M";0;"SUBU";"DIV";93;29;63;1;"PERS";669.6;"4D";"M"
"CAL";2722.210707;"Yes";"BAS";"COLL";"ML";"F";17576;"SUBU";"MAR";71;29;70;1;"CORP";398.502948;"4D";"M"
"NEV";9212.613275;"No";"BAS";"HSOB";"EMP";"M";70958;"RUR";"MAR";115;1;57;7;"PERS";115.400119;"SPO";"M"
"AR";4992.063043;"No";"BAS";"BACH";"UNEMP";"F";0;"SUBU";"SING";71;6;5;3;"CORP";653.388564;"4D";"S"
"AR";8630.053943;"No";"PREM";"COLL";"EMP";"M";24065;"SUBU";"DIV";111;30;1;5;"CORP";532.8;"4D";"M"
"AR";5604.330774;"No";"BAS";"MAST";"EMP";"M";20252;"URB";"MAR";71;0;64;3;"PERS";198.227061;"4D";"M"
"NEV";2652.061785;"No";"BAS";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";70;7;1;1;"CORP";484.318536;"2D";"M"
"OR";5460.373249;"No";"BAS";"MAST";"EMP";"F";31530;"SUBU";"MAR";69;24;47;3;"PERS";331.2;"2D";"M"
"CAL";15485.80378;"No";"BAS";"MAST";"EMP";"F";72026;"URB";"MAR";191;22;72;6;"CORP";554.926724;"LUXS";"S"
"OR";32654.8383;"No";"PREM";"BACH";"UNEMP";"M";0;"SUBU";"SING";153;7;75;2;"PERS";1101.6;"SUV";"M"
"CAL";7545.548643;"No";"BAS";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";106;19;67;3;"CORP";631.108223;"SUV";"M"
"AR";5809.261551;"No";"BAS";"HSOB";"EMP";"F";26975;"SUBU";"MAR";73;14;59;5;"PERS";548.333667;"2D";"S"
"OR";67907.2705;"No";"PREM";"BACH";"EMP";"M";78310;"RUR";"MAR";192;34;18;2;"PERS";151.711475;"SPO";"M"
"AR";2549.998419;"No";"BAS";"BACH";"EMP";"M";31213;"SUBU";"MAR";65;0;29;1;"CORP";312;"4D";"M"
"AR";5015.009472;"Yes";"EXT";"BACH";"EMP";"F";48567;"SUBU";"SING";130;12;15;1;"PERS";624;"SUV";"M"
"CAL";7902.681227;"No";"BAS";"COLL";"UNEMP";"F";0;"SUBU";"MAR";106;21;25;9;"PERS";634.396608;"SUV";"S"
"AR";10548.53703;"No";"EXT";"DOCT";"EMP";"F";27458;"SUBU";"MAR";131;18;62;3;"PERS";730.373515;"SPO";"M"
"AR";3136.082008;"No";"EXT";"HSOB";"UNEMP";"F";0;"SUBU";"SING";89;15;83;1;"PERS";640.8;"4D";"M"
"OR";2325.259483;"No";"BAS";"COLL";"UNEMP";"F";0;"SUBU";"MAR";63;6;75;1;"PERS";302.4;"4D";"M"
"AR";4642.020128;"No";"BAS";"COLL";"UNEMP";"M";0;"SUBU";"SING";64;10;15;5;"PERS";770.254285;"2D";"S"
"CAL";12208.12004;"No";"BAS";"MAST";"EMP";"F";21331;"URB";"DIV";103;18;84;2;"PERS";419.062661;"SUV";"L"
"WASH";17771.54902;"No";"PREM";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";114;30;1;2;"PERS";547.2;"2D";"M"
"CAL";5786.49398;"No";"BAS";"BACH";"EMP";"M";44784;"SUBU";"MAR";73;32;35;4;"PERS";395.386573;"2D";"M"
"CAL";33473.34946;"Yes";"BAS";"BACH";"EMP";"F";33190;"SUBU";"DIV";106;18;95;2;"PERS";508.8;"SUV";"M"
"CAL";2776.842204;"No";"EXT";"COLL";"ML";"M";23830;"SUBU";"MAR";76;24;22;1;"CORP";364.8;"2D";"M"
"CAL";7754.666388;"No";"BAS";"COLL";"UNEMP";"M";0;"SUBU";"SING";117;2;36;3;"CORP";918.655051;"SUV";"M"
"CAL";10972.06778;"Yes";"EXT";"DOCT";"EMP";"M";24164;"SUBU";"DIV";137;2;40;5;"CORP";657.6;"SPO";"M"
"AR";5577.54128;"No";"BAS";"COLL";"EMP";"M";97868;"URB";"MAR";70;5;22;3;"SPEC";267.786573;"2D";"L"
"CAL";10972.06778;"Yes";"EXT";"DOCT";"EMP";"M";24164;"SUBU";"DIV";137;2;40;5;"PERS";657.6;"SPO";"M"
"CAL";31934.62164;"No";"BAS";"BACH";"EMP";"F";56516;"SUBU";"MAR";199;26;46;2;"PERS";955.2;"LUXS";"M"
"AR";3703.404606;"No";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"SING";109;22;5;1;"PERS";784.8;"SUV";"S"
"OR";5229.986897;"No";"BAS";"MAST";"ML";"M";18129;"SUBU";"SING";69;21;56;5;"PERS";364.695093;"4D";"M"
"CAL";7083.212357;"No";"EXT";"BACH";"EMP";"F";41449;"RUR";"MAR";89;15;45;5;"PERS";63.516572;"4D";"M"
"WASH";20096.89337;"Yes";"BAS";"HSOB";"EMP";"F";92766;"SUBU";"MAR";71;17;15;2;"PERS";379.029102;"2D";"L"
"AR";10307.65258;"No";"EXT";"COLL";"EMP";"F";78358;"SUBU";"MAR";128;6;75;3;"CORP";614.4;"SUV";"M"
"AR";12298.6863;"Yes";"BAS";"HSOB";"ML";"M";17101;"SUBU";"SING";113;1;88;2;"SPEC";542.4;"SUV";"M"
"AR";8004.214781;"No";"BAS";"HSOB";"EMP";"F";54008;"SUBU";"MAR";67;18;90;2;"PERS";370.503286;"4D";"M"
"WASH";26999.68099;"No";"PREM";"MAST";"UNEMP";"M";0;"SUBU";"DIV";104;33;19;2;"PERS";622.88852;"4D";"M"
"CAL";6185.09653;"No";"EXT";"BACH";"UNEMP";"M";0;"SUBU";"SING";92;8;28;3;"PERS";1027.177255;"2D";"S"
"CAL";8382.478392;"Yes";"BAS";"BACH";"EMP";"M";25998;"SUBU";"MAR";71;16;38;2;"PERS";791.878042;"4D";"M"
"NEV";5763.265424;"No";"EXT";"BACH";"EMP";"M";31725;"RUR";"SING";76;31;9;5;"PERS";177.234;"2D";"M"
"CAL";15477.27854;"No";"PREM";"COLL";"EMP";"M";51675;"SUBU";"MAR";196;11;86;5;"CORP";940.8;"SPO";"M"
"OR";2522.41457;"No";"BAS";"COLL";"UNEMP";"M";0;"SUBU";"SING";73;24;15;1;"CORP";350.4;"2D";"M"
"CAL";4433.694028;"No";"BAS";"BACH";"UNEMP";"F";0;"SUBU";"SING";65;7;22;6;"SPEC";312;"4D";"M"
"AR";9657.579498;"Yes";"EXT";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";131;34;61;9;"CORP";628.8;"SUV";"M"
"AR";7405.265785;"No";"BAS";"BACH";"EMP";"M";58779;"SUBU";"SING";64;13;82;2;"PERS";307.2;"4D";"M"
"CAL";6089.77238;"No";"EXT";"COLL";"EMP";"M";70892;"URB";"MAR";76;21;32;5;"CORP";206.709951;"2D";"M"
"CAL";3075.594979;"No";"EXT";"BACH";"EMP";"M";65017;"URB";"MAR";81;8;16;1;"PERS";301.841073;"4D";"S"
"OR";25807.063;"Yes";"EXT";"COLL";"EMP";"F";71210;"SUBU";"MAR";214;8;89;2;"CORP";1027.2;"LUX";"S"
"AR";7218.015592;"No";"BAS";"DOCT";"EMP";"F";32312;"URB";"MAR";61;29;31;2;"PERS";276.590788;"2D";"M"
"OR";4058.668736;"No";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"SING";117;13;69;1;"PERS";842.4;"SPO";"M"
"AR";2668.662697;"No";"BAS";"COLL";"EMP";"M";30718;"SUBU";"MAR";67;26;49;1;"PERS";321.6;"2D";"M"
"OR";5181.620895;"Yes";"BAS";"MAST";"EMP";"F";97131;"SUBU";"MAR";64;5;80;6;"PERS";307.2;"4D";"S"
"OR";8319.123035;"No";"BAS";"BACH";"EMP";"F";49734;"RUR";"MAR";69;3;41;2;"CORP";154.748539;"4D";"M"
"WASH";2777.341885;"No";"BAS";"HSOB";"EMP";"F";65431;"SUBU";"MAR";69;7;90;1;"PERS";331.2;"4D";"M"
"CAL";23866.15656;"No";"EXT";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";81;27;93;2;"PERS";388.8;"4D";"M"
"NEV";3323.856125;"No";"EXT";"HSOB";"DIS";"F";12762;"SUBU";"MAR";86;10;14;1;"CORP";412.8;"2D";"M"
"NEV";5715.312991;"No";"BAS";"BACH";"EMP";"M";84183;"URB";"SING";72;29;86;4;"PERS";255.565349;"4D";"S"
"OR";5028.839465;"No";"BAS";"BACH";"UNEMP";"M";0;"RUR";"MAR";67;21;85;8;"PERS";80.753763;"4D";"M"
"OR";14140.55885;"No";"BAS";"COLL";"EMP";"F";58988;"SUBU";"MAR";118;3;76;2;"PERS";566.4;"SPO";"M"
"OR";5614.587986;"No";"BAS";"COLL";"EMP";"F";40417;"RUR";"MAR";71;34;4;8;"PERS";130.303439;"4D";"L"
"CAL";8323.533338;"No";"BAS";"HSOB";"EMP";"F";59886;"RUR";"MAR";104;30;1;4;"PERS";71.729298;"SPO";"M"
"AR";8378.357502;"No";"PREM";"COLL";"EMP";"M";40994;"RUR";"MAR";106;8;94;8;"PERS";60.227339;"4D";"M"
"OR";7158.530736;"No";"EXT";"COLL";"EMP";"M";36463;"SUBU";"SING";92;8;25;3;"PERS";441.6;"4D";"M"
"CAL";6898.455315;"No";"PREM";"MAST";"EMP";"F";70950;"URB";"MAR";171;6;12;1;"PERS";565.929394;"SPO";"M"
"NEV";52811.49112;"No";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"MAR";182;8;70;2;"CORP";873.6;"LUX";"S"
"OR";2795.735679;"No";"BAS";"MAST";"EMP";"M";85950;"RUR";"DIV";69;5;61;1;"PERS";47.70723;"4D";"S"
"AR";2646.573754;"No";"BAS";"COLL";"DIS";"F";23170;"SUBU";"DIV";71;21;67;1;"PERS";340.8;"4D";"M"
"WASH";10418.31143;"No";"EXT";"HSOB";"DIS";"M";27951;"SUBU";"MAR";91;32;4;2;"PERS";436.8;"4D";"M"
"OR";8532.989751;"No";"BAS";"MAST";"EMP";"M";30092;"RUR";"MAR";108;33;90;9;"PERS";192.265438;"SUV";"L"
"OR";3223.331519;"No";"EXT";"COLL";"EMP";"F";70277;"RUR";"MAR";80;23;4;1;"PERS";84.818806;"4D";"S"
"CAL";7607.001877;"No";"BAS";"COLL";"UNEMP";"M";0;"SUBU";"MAR";104;3;62;3;"PERS";638.414994;"SUV";"S"
"CAL";7080.131872;"No";"EXT";"BACH";"DIS";"F";28139;"SUBU";"MAR";97;31;65;3;"PERS";465.6;"4D";"M"
"OR";6515.026481;"No";"EXT";"MAST";"EMP";"M";47259;"SUBU";"MAR";81;22;54;5;"CORP";388.8;"4D";"M"
"WASH";5384.671725;"No";"BAS";"BACH";"DIS";"M";13103;"SUBU";"MAR";72;21;32;7;"PERS";458.003651;"4D";"M"
"OR";8495.164213;"No";"PREM";"HSOB";"EMP";"F";23791;"SUBU";"DIV";110;11;71;7;"PERS";615.27228;"2D";"M"
"WASH";5007.224298;"No";"BAS";"COLL";"UNEMP";"F";0;"SUBU";"SING";73;24;69;3;"PERS";655.791955;"4D";"M"
"CAL";12948.39854;"No";"PREM";"COLL";"EMP";"M";30763;"SUBU";"SING";111;28;19;2;"PERS";1072.532443;"4D";"M"
"CAL";4191.06163;"No";"BAS";"HSOB";"UNEMP";"M";0;"SUBU";"SING";64;3;53;7;"PERS";535.953661;"2D";"S"
"AR";2414.770722;"No";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"SING";67;3;54;1;"PERS";482.4;"2D";"L"
"AR";2482.195895;"No";"BAS";"HSOB";"EMP";"M";31093;"URB";"SING";64;1;22;1;"PERS";274.956819;"4D";"M"
"AR";5107.163002;"Yes";"BAS";"BACH";"EMP";"F";35625;"URB";"MAR";65;10;56;3;"PERS";288.572108;"4D";"M"
"OR";7644.684144;"No";"EXT";"HSOB";"ML";"F";26526;"SUBU";"MAR";99;0;86;3;"PERS";523.701824;"4D";"M"
"OR";3808.122147;"Yes";"EXT";"COLL";"EMP";"F";94903;"SUBU";"MAR";94;3;38;1;"PERS";451.2;"2D";"S"
"CAL";2641.446062;"No";"BAS";"MAST";"EMP";"F";29305;"SUBU";"MAR";66;1;38;1;"PERS";475.2;"4D";"S"
"CAL";3942.917284;"No";"EXT";"MAST";"EMP";"M";38820;"SUBU";"MAR";99;29;59;1;"PERS";547.619785;"4D";"S"
"CAL";8323.073985;"No";"BAS";"BACH";"EMP";"M";97245;"RUR";"DIV";70;29;29;2;"PERS";4.110585;"4D";"M"
"CAL";21235.44557;"No";"EXT";"BACH";"UNEMP";"M";0;"SUBU";"DIV";86;29;45;2;"PERS";568.746405;"4D";"M"
"CAL";3362.670123;"No";"PREM";"BACH";"UNEMP";"M";0;"SUBU";"SING";107;9;96;1;"PERS";770.4;"4D";"S"
"NEV";3569.864625;"No";"BAS";"BACH";"UNEMP";"F";0;"SUBU";"SING";101;12;38;1;"PERS";1201.085226;"SUV";"S"
"OR";8229.240991;"No";"BAS";"MAST";"UNEMP";"F";0;"URB";"MAR";109;5;63;3;"PERS";298.636534;"SUV";"M"
"WASH";2659.337982;"No";"BAS";"BACH";"EMP";"M";24495;"SUBU";"SING";70;29;65;1;"PERS";336;"4D";"S"
"CAL";4772.931526;"No";"EXT";"HSOB";"ML";"M";15323;"SUBU";"MAR";128;30;61;1;"PERS";614.4;"SUV";"M"
"NEV";2864.544017;"No";"BAS";"MAST";"EMP";"F";91368;"SUBU";"DIV";71;13;95;1;"PERS";395.328407;"4D";"L"
"OR";5524.310373;"No";"BAS";"BACH";"EMP";"F";70360;"SUBU";"MAR";69;0;66;8;"PERS";331.2;"2D";"S"
"CAL";26576.31541;"No";"PREM";"BACH";"EMP";"M";87002;"RUR";"MAR";110;27;30;2;"PERS";199.851173;"2D";"M"
"OR";7247.495684;"No";"EXT";"COLL";"UNEMP";"F";0;"SUBU";"MAR";96;31;64;3;"PERS";460.8;"4D";"L"
"NEV";4966.767294;"No";"BAS";"BACH";"EMP";"M";38055;"RUR";"MAR";64;7;24;8;"PERS";39.069987;"2D";"M"
"OR";9217.978125;"No";"BAS";"BACH";"EMP";"F";26351;"SUBU";"DIV";119;14;87;7;"PERS";571.2;"SUV";"M"
"WASH";2429.280527;"No";"BAS";"HSOB";"ML";"F";26736;"SUBU";"MAR";63;6;64;1;"PERS";367.92773;"4D";"M"
"CAL";22103.5072;"Yes";"BAS";"COLL";"UNEMP";"M";0;"SUBU";"MAR";102;35;48;2;"PERS";489.6;"SUV";"M"
"OR";10777.56762;"No";"EXT";"COLL";"EMP";"M";53437;"SUBU";"MAR";91;2;87;2;"PERS";436.8;"2D";"M"
"CAL";4636.54647;"Yes";"BAS";"COLL";"RET";"M";26802;"SUBU";"MAR";66;7;43;5;"PERS";316.8;"2D";"M"
"CAL";11003.54385;"No";"BAS";"MAST";"UNEMP";"F";0;"SUBU";"SING";102;20;7;2;"PERS";489.6;"SUV";"M"
"AR";2619.337376;"Yes";"BAS";"BACH";"EMP";"M";78618;"URB";"DIV";66;7;56;1;"CORP";225.578841;"2D";"M"
"CAL";5182.462266;"No";"EXT";"MAST";"UNEMP";"M";0;"SUBU";"MAR";135;2;41;1;"PERS";939.528475;"SUV";"L"
"OR";3919.366722;"Yes";"EXT";"HSOB";"EMP";"F";66676;"SUBU";"MAR";97;0;40;1;"PERS";558.099357;"4D";"S"
"AR";5248.978048;"No";"BAS";"COLL";"UNEMP";"M";0;"URB";"MAR";72;0;45;4;"PERS";216.700125;"4D";"M"
"CAL";3748.14406;"No";"BAS";"BACH";"UNEMP";"M";0;"SUBU";"DIV";106;24;27;1;"PERS";508.8;"SUV";"L"
"AR";5757.442258;"Yes";"BAS";"MAST";"EMP";"M";88997;"RUR";"DIV";72;9;71;3;"PERS";174.041566;"4D";"S"
"CAL";8044.872393;"Yes";"BAS";"BACH";"EMP";"M";71391;"URB";"MAR";67;29;39;2;"PERS";284.000172;"4D";"M"
"AR";17790.40826;"No";"PREM";"COLL";"RET";"M";26000;"SUBU";"DIV";256;34;84;8;"PERS";1228.8;"LUXS";"S"
"AR";7429.079194;"No";"PREM";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";101;6;43;9;"PERS";549.692452;"4D";"M"
"OR";5325.724541;"Yes";"BAS";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";73;17;44;7;"PERS";496.474767;"2D";"M"
"OR";7275.921106;"No";"BAS";"COLL";"EMP";"M";27984;"SUBU";"MAR";62;7;51;2;"PERS";445.361629;"4D";"M"
"AR";4506.577736;"No";"BAS";"BACH";"DIS";"F";14985;"SUBU";"MAR";116;12;45;1;"PERS";571.319514;"SPO";"M"
"CAL";5146.80976;"No";"BAS";"BACH";"DIS";"F";22594;"SUBU";"MAR";67;22;41;3;"PERS";321.6;"4D";"M"
"OR";2435.689035;"No";"BAS";"COLL";"EMP";"M";32931;"SUBU";"MAR";62;16;45;1;"PERS";297.6;"4D";"M"
"OR";16681.32634;"No";"BAS";"COLL";"EMP";"F";55907;"SUBU";"MAR";104;23;64;2;"CORP";499.2;"SUV";"L"
"NEV";6601.611299;"No";"BAS";"HSOB";"UNEMP";"M";0;"SUBU";"SING";194;22;79;1;"CORP";2306.508397;"LUXS";"M"
"AR";9621.72619;"No";"EXT";"HSOB";"EMP";"F";54872;"SUBU";"MAR";121;9;50;3;"PERS";580.8;"SUV";"L"
"CAL";2483.67134;"No";"BAS";"BACH";"EMP";"F";75615;"RUR";"MAR";65;16;39;1;"PERS";156.54837;"4D";"M"
"CAL";2594.809242;"No";"BAS";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";73;8;34;1;"CORP";350.4;"4D";"S"
"CAL";8467.387317;"No";"BAS";"BACH";"DIS";"F";21139;"SUBU";"DIV";113;15;93;5;"PERS";656.798232;"SPO";"M"
"AR";4809.21696;"No";"BAS";"COLL";"EMP";"M";48029;"SUBU";"MAR";61;7;52;9;"CORP";292.8;"4D";"M"
"CAL";5568.656492;"No";"EXT";"COLL";"EMP";"F";51489;"RUR";"MAR";139;14;10;1;"PERS";236.739322;"SUV";"M"
