"ST";"CLV";"Resp.";"COV";"EDUC";"EMPS";"GEN";"INC";"LOCC";"MARS";"MPA";"MSLC";"MSPI";"NOP";"PT";"TCA";"VC";"VS";"Cluster"
"WASH";11318.08982;"No";"Extended";"COLL";"EMP";"M";38923;"RUR";"MAR";99;6;83;2;"PERS";115.728852;"4D";"M";3
"CAL";58166.55351;"No";"Basic";"BACH";"EMP";"M";61321;"RUR";"SING";186;0;30;2;"PERS";427.63121;"LUX";"S";1
"CAL";8025.229358;"No";"Extended";"COLL";"UNEMP";"F";0;"RUR";"SING";77;20;26;2;"PERS";25.807685;"2D";"L";1
"CAL";5780.182197;"Yes";"Basic";"HSOB";"EMP";"M";51066;"SUBU";"SING";74;23;0;8;"PERS";787.993313;"4D";"M";2
"CAL";4118.539113;"No";"Basic";"DOCT";"EMP";"M";34378;"SUBU";"MAR";102;12;54;1;"PERS";489.6;"SUV";"M";3
"NEV";2523.07015;"No";"Basic";"MAST";"EMP";"M";43072;"SUBU";"MAR";63;35;15;1;"PERS";302.4;"4D";"L";1
"OR";6554.216396;"No";"Extended";"COLL";"DIS";"F";25222;"SUBU";"SING";90;28;69;3;"PERS";475.623251;"4D";"S";3
"WASH";7703.397294;"No";"Basic";"HSOB";"EMP";"M";36765;"SUBU";"MAR";66;15;32;2;"PERS";320.849072;"4D";"M";1
"CAL";5926.729379;"Yes";"Extended";"COLL";"RET";"M";23091;"SUBU";"MAR";96;28;90;5;"PERS";460.8;"4D";"M";3
"CAL";2683.470677;"No";"Basic";"BACH";"EMP";"F";48269;"URB";"MAR";69;3;79;1;"CORP";282.151207;"4D";"M";3
"OR";2695.182419;"No";"Basic";"BACH";"EMP";"F";32720;"SUBU";"DIV";67;13;12;1;"PERS";321.6;"4D";"M";1
"CAL";6047.02516;"Yes";"Extended";"COLL";"EMP";"M";20396;"SUBU";"MAR";76;15;60;4;"PERS";364.8;"4D";"M";3
"OR";13171.01282;"No";"Premium";"COLL";"ML";"M";21513;"SUBU";"MAR";119;21;81;2;"PERS";679.827592;"2D";"S";3
"WASH";10656.88195;"Yes";"Extended";"BACH";"EMP";"F";72540;"SUBU";"MAR";88;7;3;2;"CORP";631.743039;"2D";"M";1
"OR";2527.653796;"No";"Basic";"BACH";"EMP";"F";80744;"RUR";"MAR";63;24;84;1;"CORP";11.879037;"4D";"M";3
"OR";2672.095756;"No";"Basic";"BACH";"EMP";"M";52822;"SUBU";"MAR";67;23;88;1;"CORP";350.529033;"2D";"S";3
"CAL";5313.294035;"No";"Extended";"HSOB";"UNEMP";"F";0;"SUBU";"SING";77;8;10;9;"PERS";863.3947;"4D";"M";2
"OR";20946.19251;"No";"Basic";"BACH";"EMP";"F";69738;"SUBU";"MAR";74;2;26;2;"PERS";492.127532;"4D";"L";1
"AR";8375.353929;"No";"Basic";"MAST";"ML";"F";17780;"RUR";"MAR";109;12;18;9;"PERS";132.588288;"SUV";"M";2
"CAL";4801.661503;"No";"Basic";"BACH";"ML";"M";18107;"SUBU";"MAR";62;29;11;8;"PERS";297.6;"4D";"M";2
"AR";5745.94334;"No";"Basic";"BACH";"EMP";"F";57740;"URB";"MAR";74;30;87;9;"PERS";269.905129;"4D";"M";2
"OR";6066.115969;"No";"Extended";"COLL";"EMP";"M";32627;"SUBU";"MAR";76;11;60;7;"PERS";380.036697;"2D";"S";2
"CAL";8002.308333;"Yes";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"MAR";107;3;65;3;"PERS";513.6;"SUV";"M";1
"CAL";2393.915369;"Yes";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"SING";70;24;10;1;"PERS";425.266308;"4D";"M";1
"OR";4762.8179;"No";"Basic";"BACH";"EMP";"M";65795;"RUR";"SING";62;2;85;3;"CORP";49.011099;"2D";"M";3
"CAL";4330.38602;"Yes";"Premium";"COLL";"EMP";"M";60475;"SUBU";"MAR";107;15.1785246617198;18;1;"PERS";513.6;"4D";"M";1
"CAL";9402.729769;"No";"Extended";"HSOB";"UNEMP";"F";0;"SUBU";"SING";130;28;88;4;"PERS";936;"SUV";"M";3
"OR";6966.694527;"No";"Extended";"BACH";"EMP";"F";41837;"RUR";"MAR";88;29;93;9;"PERS";142.062768;"4D";"S";2
"CAL";7694.064293;"No";"Basic";"BACH";"EMP";"F";32303;"RUR";"MAR";65;13;34;2;"PERS";45.152521;"4D";"M";1
"OR";8717.561149;"No";"Basic";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";117;5;89;3;"PERS";561.6;"SUV";"M";3
"CAL";5928.748528;"No";"Basic";"BACH";"EMP";"F";40531;"RUR";"MAR";74;17;32;9;"PERS";30.567357;"2D";"M";2
"OR";2452.977288;"No";"Basic";"COLL";"EMP";"M";79898;"URB";"MAR";62;5;86;1;"CORP";271.606799;"4D";"M";3
"CAL";6701.571657;"No";"Extended";"COLL";"EMP";"M";56398;"SUBU";"MAR";85;4;18;7;"PERS";408;"4D";"S";2
"WASH";7556.24034;"No";"Extended";"HSOB";"EMP";"M";35257;"SUBU";"DIV";98;16;2;8;"CORP";470.4;"4D";"S";2
"AR";8492.6988;"No";"Basic";"COLL";"EMP";"M";27804;"SUBU";"MAR";109;19;54;7;"PERS";784.8;"SUV";"M";2
"OR";7713.494046;"No";"Basic";"BACH";"EMP";"M";45506;"SUBU";"SING";66;16;32;2;"PERS";316.8;"4D";"M";1
"WASH";24084.5352;"No";"Basic";"HSOB";"EMP";"M";65196;"SUBU";"MAR";67;0;54;2;"PERS";396.082036;"4D";"M";1
"CAL";7290.069769;"No";"Basic";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";102;11;70;3;"CORP";489.6;"SUV";"M";1
"OR";4772.943848;"Yes";"Extended";"HSOB";"RET";"M";20993;"SUBU";"DIV";133;35;90;1;"PERS";638.4;"SUV";"M";3
"AR";6806.491395;"No";"Extended";"HSOB";"EMP";"M";37839;"SUBU";"MAR";86;35;77;9;"PERS";465.633954;"2D";"M";2
"CAL";2469.781334;"No";"Basic";"BACH";"EMP";"F";92711;"SUBU";"SING";62;24;10;1;"PERS";368.400146;"2D";"M";1
"CAL";3103.923041;"No";"Extended";"COLL";"EMP";"F";74665;"URB";"MAR";78;10;90;1;"CORP";236.902001;"4D";"M";3
"WASH";2981.875575;"No";"Extended";"COLL";"UNEMP";"M";0;"SUBU";"MAR";83;26;89;1;"PERS";582.679087;"2D";"M";3
"CAL";8902.737595;"No";"Basic";"BACH";"EMP";"M";46833;"RUR";"MAR";112;6;3;9;"PERS";64.109663;"SPO";"M";2
"OR";5499.447223;"No";"Basic";"HSOB";"EMP";"F";88768;"SUBU";"MAR";68;17;77;7;"PERS";326.4;"2D";"S";2
"CAL";15023.59858;"No";"Basic";"HSOB";"EMP";"M";28262;"SUBU";"SING";192;9;77;3;"PERS";921.6;"LUXS";"M";1
"NEV";2509.107875;"No";"Basic";"BACH";"EMP";"F";33555;"RUR";"MAR";63;17;11;1;"PERS";101.89645;"4D";"M";1
"OR";31221.7481;"No";"Premium";"COLL";"EMP";"M";42780;"SUBU";"DIV";113;10;27;2;"PERS";542.4;"4D";"M";1
"OR";3133.503432;"No";"Extended";"MAST";"EMP";"F";58850;"RUR";"SING";78;20;26;1;"PERS";143.747794;"4D";"M";3
"AR";3837.451863;"No";"Extended";"COLL";"EMP";"M";21880;"URB";"MAR";97;29;37;1;"SPEC";424.077159;"4D";"M";1
"OR";11790.49617;"Yes";"Basic";"COLL";"RET";"M";25251;"SUBU";"DIV";66;13;43;2;"PERS";316.8;"4D";"M";1
"WASH";7838.068321;"No";"Basic";"MAST";"UNEMP";"F";0;"RUR";"MAR";69;9;12;2;"PERS";2.704934;"4D";"M";1
"AR";4305.808345;"No";"Basic";"HSOB";"EMP";"M";24188;"SUBU";"MAR";109;14;82;1;"PERS";523.2;"SPO";"M";3
"NEV";5973.976904;"No";"Basic";"BACH";"EMP";"F";41611;"RUR";"MAR";74;14;8;8;"SPEC";113.801497;"4D";"M";2
"OR";5670.442396;"No";"Basic";"BACH";"EMP";"F";28406;"URB";"MAR";72;16;35;4;"PERS";192.87572;"4D";"M";1
"AR";4731.749346;"No";"Premium";"COLL";"EMP";"M";69833;"SUBU";"MAR";118;32;99;1;"PERS";828.662719;"4D";"S";3
"AR";8026.379641;"No";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"SING";74;15;91;2;"CORP";532.8;"4D";"S";3
"AR";4022.963529;"No";"Basic";"HSOB";"UNEMP";"M";0;"SUBU";"SING";117;6;1;1;"PERS";975.107098;"SUV";"M";1
"OR";9618.310865;"No";"Basic";"HSOB";"EMP";"F";80536;"RUR";"MAR";119;5;83;3;"SPEC";53.798708;"SPO";"M";1
"WASH";2274.775451;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"SING";63;2;5;1;"PERS";606.642452;"4D";"S";1
"OR";9552.926922;"No";"Extended";"COLL";"EMP";"F";97732;"URB";"MAR";79;0;70;2;"PERS";289.9122;"4D";"M";1
"AR";10388.55323;"No";"Extended";"BACH";"EMP";"F";61222;"URB";"SING";89;20;55;2;"SPEC";392.604371;"4D";"S";3
"OR";2470.121222;"No";"Basic";"COLL";"UNEMP";"M";0;"SUBU";"SING";74;7;20;1;"PERS";721.242206;"2D";"L";1
"AR";5619.068508;"No";"Premium";"MAST";"EMP";"M";50335;"URB";"MAR";140;9;54;1;"PERS";456.52385;"SUV";"M";3
"CAL";9047.119209;"No";"Extended";"HSOB";"UNEMP";"F";0;"SUBU";"SING";127;30;11;6;"PERS";1087.995426;"SPO";"M";3
"WASH";6692.143668;"No";"Premium";"HSOB";"EMP";"M";63221;"SUBU";"MAR";168;28;49;1;"CORP";806.4;"SUV";"M";1
"OR";3731.504584;"Yes";"Extended";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";96;31;34;1;"PERS";460.8;"4D";"L";1
"NEV";3660.770258;"No";"Extended";"BACH";"EMP";"M";64495;"URB";"MAR";92;34;30;1;"CORP";251.992083;"4D";"M";1
"CAL";7928.829252;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"MAR";72;15.3737888832228;75;2;"CORP";345.6;"4D";"M";3
"AR";5011.751577;"No";"Basic";"BACH";"EMP";"F";28859;"SUBU";"DIV";67;24;51;4;"CORP";321.6;"2D";"M";3
"AR";7988.258292;"No";"Extended";"HSOB";"EMP";"F";77330;"RUR";"MAR";99;0;21;3;"PERS";99.257608;"4D";"M";1
"OR";3885.456401;"Yes";"Premium";"COLL";"UNEMP";"M";0;"SUBU";"MAR";105;3;92;1;"CORP";504;"4D";"L";3
"WASH";2659.337982;"No";"Basic";"BACH";"EMP";"M";24495;"SUBU";"SING";70;15.1785246617198;65;1;"PERS";336;"4D";"S";3
"WASH";8564.768226;"Yes";"Basic";"HSOB";"EMP";"M";95697;"RUR";"MAR";107;29;29;9;"PERS";178.006524;"SPO";"M";2
"AR";4885.162511;"No";"Extended";"HSOB";"DIS";"M";26372;"SUBU";"MAR";126;11;7;1;"PERS";604.8;"SUV";"M";1
"AR";9753.307106;"No";"Extended";"BACH";"ML";"F";17514;"RUR";"MAR";127;2;5;3;"PERS";8.312729;"SUV";"M";1
"CAL";2946.153697;"No";"Basic";"BACH";"EMP";"F";89270;"URB";"SING";74;17;90;1;"PERS";316.599228;"4D";"M";3
"CAL";2581.110945;"No";"Basic";"HSOB";"EMP";"M";29757;"SUBU";"MAR";65;13;55;1;"PERS";312;"4D";"S";3
"OR";3517.385764;"No";"Extended";"COLL";"EMP";"M";51814;"RUR";"SING";92;28;89;1;"PERS";56.300724;"4D";"M";3
"OR";9743.350113;"No";"Extended";"BACH";"EMP";"F";24028;"SUBU";"MAR";82;14;27;2;"PERS";393.6;"4D";"S";1
"AR";3873.647046;"Yes";"Basic";"COLL";"RET";"M";28142;"SUBU";"MAR";105;18;50;1;"PERS";701.708239;"SPO";"M";3
"AR";7649.28199;"No";"Basic";"BACH";"EMP";"F";52705;"RUR";"MAR";64;14;8;2;"PERS";128.705563;"2D";"L";1
"CAL";2287.59692;"No";"Basic";"HSOB";"UNEMP";"M";0;"SUBU";"MAR";63;1;5;1;"CORP";679.368378;"2D";"M";1
"WASH";4475.424592;"No";"Basic";"COLL";"EMP";"F";84903;"URB";"MAR";111;15.1001236093943;63;1;"PERS";497.126827;"SUV";"M";3
"CAL";8714.922135;"Yes";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"DIV";118;14;64;4;"PERS";566.4;"SUV";"M";3
"WASH";2248.449633;"Yes";"Basic";"BACH";"RET";"F";24910;"SUBU";"SING";63;7;63;1;"PERS";347.857619;"4D";"M";3
"CAL";7416.197322;"No";"Extended";"BACH";"UNEMP";"M";0;"SUBU";"SING";77;15;12;2;"PERS";554.4;"4D";"M";1
"OR";7771.158973;"No";"Basic";"MAST";"ML";"M";21876;"SUBU";"MAR";68;12;28;2;"PERS";465.41477;"4D";"S";1
"CAL";6968.3419;"No";"Basic";"BACH";"UNEMP";"F";0;"SUBU";"SING";69;33;61;2;"PERS";496.8;"4D";"S";3
"CAL";4250.282624;"Yes";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"SING";61;13.9669211195929;1;7;"PERS";292.8;"4D";"S";2
"OR";19776.56654;"No";"Extended";"HSOB";"EMP";"F";70699;"URB";"DIV";82;1;57;2;"PERS";256.813837;"4D";"M";1
"CAL";21343.46599;"No";"Basic";"HSOB";"UNEMP";"F";0;"SUBU";"MAR";74;11;85;2;"PERS";355.2;"4D";"M";3
"CAL";2413.139714;"No";"Basic";"COLL";"ML";"M";27501;"SUBU";"MAR";63;20;0;1;"PERS";542.319401;"4D";"M";1
"OR";15363.84716;"No";"Premium";"DOCT";"DIS";"F";15897;"URB";"DIV";101;15.1001236093943;99;2;"PERS";303.148399;"4D";"M";3
"NEV";8456.961887;"No";"Basic";"COLL";"EMP";"F";25141;"RUR";"DIV";73;12;4;2;"PERS";25.438063;"4D";"M";1
"NEV";2189.642522;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"MAR";61;5;46;1;"PERS";292.8;"4D";"S";1
"CAL";5780.182197;"Yes";"Basic";"HSOB";"EMP";"M";51066;"SUBU";"SING";74;23;0;8;"PERS";787.993313;"4D";"M";2
"CAL";4639.981638;"No";"Basic";"BACH";"EMP";"F";28358;"RUR";"MAR";117;24;37;1;"PERS";84.024413;"SPO";"M";1
"WASH";4465.335703;"No";"Basic";"COLL";"EMP";"F";61846;"RUR";"MAR";112;1;48;1;"PERS";215.8182;"SUV";"M";1
"AR";5968.118877;"No";"Basic";"BACH";"EMP";"F";90972;"URB";"MAR";74;3;47;8;"PERS";232.926145;"2D";"M";2
"WASH";5097.763337;"No";"Basic";"COLL";"UNEMP";"F";0;"SUBU";"SING";74;3;95;7;"PERS";532.8;"2D";"M";2
"CAL";4076.634665;"No";"Basic";"BACH";"EMP";"F";29549;"SUBU";"DIV";104;17;51;1;"PERS";710.433775;"SPO";"S";3
"CAL";12252.60179;"No";"Premium";"BACH";"UNEMP";"F";0;"SUBU";"MAR";115;12;17;2;"PERS";552;"4D";"M";1
"NEV";16936.27147;"No";"Extended";"BACH";"EMP";"F";39411;"SUBU";"MAR";217;4;29;4;"PERS";1122.658899;"LUX";"M";3
"OR";4892.435461;"No";"Basic";"HSOB";"EMP";"M";21709;"SUBU";"MAR";62;28;17;3;"PERS";408.374746;"4D";"L";1
"NEV";9942.304791;"No";"Extended";"BACH";"EMP";"M";67890;"SUBU";"SING";85;23;57;2;"PERS";408;"4D";"S";3
"CAL";3735.838129;"No";"Basic";"BACH";"UNEMP";"M";0;"SUBU";"SING";110;3;16;1;"PERS";792;"SUV";"M";1
"CAL";13117.52215;"No";"Basic";"HSOB";"EMP";"F";84311;"SUBU";"SING";111;11;98;2;"PERS";532.8;"SUV";"S";1
"CAL";4574.524094;"No";"Basic";"COLL";"EMP";"F";99316;"SUBU";"SING";114;26;53;1;"CORP";754.358929;"SUV";"M";1
"AR";5470.060561;"Yes";"Extended";"BACH";"EMP";"F";54507;"SUBU";"MAR";138;20;11;1;"PERS";702.990032;"SUV";"M";1
"CAL";2978.84601;"No";"Extended";"BACH";"EMP";"F";64586;"URB";"SING";76;3;17;1;"PERS";206.837111;"4D";"M";1
"OR";6410.967544;"No";"Extended";"COLL";"EMP";"M";61709;"URB";"MAR";82;5;41;7;"PERS";275.395894;"4D";"M";2
