"State";"Customer.Lifetime.Value";"Response";"Coverage";"Education";"EmploymentStatus";"Gender";"Income";"Location.Code";"Marital.Status";"Monthly.Premium.Auto";"Months.Since.Last.Claim";"Months.Since.Policy.Inception";"Number.of.Policies";"Policy.Type";"Total.Claim.Amount";"Vehicle.Class";"Vehicle.Size"
"Arizona";4468.510542;"No";"Basic";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";73;7;57;5;"Personal Auto";579.165954;"Four-Door Car";"Medsize"
"Oregon";5514.344018;"No";"Basic";"High School or Below";"Employed";"F";23218;"Suburban";"Single";71;7;10;4;"Personal Auto";447.79344;"Two-Door Car";"Medsize"
"California";3343.875326;"No";"Extended";"Bachelor";"Unemployed";"F";0;"Suburban";"Married";92;11;77;1;"Corporate Auto";529.624084;"Four-Door Car";"Medsize"
"Arizona";2294.478927;"No";"Basic";"High School or Below";"Unemployed";"F";0;"Suburban";"Married";62;11;56;1;"Personal Auto";313.023175;"Four-Door Car";"Medsize"
"Oregon";36707.42639;"No";"Basic";"College";"Employed";"M";24804;"Suburban";"Married";104;1;28;2;"Personal Auto";593.830288;"SUV";"Small"
"California";33473.34946;"Yes";"Basic";"Bachelor";"Employed";"F";33190;"Suburban";"Divorced";106;18;95;2;"Corporate Auto";508.8;"SUV";"Medsize"
"Nevada";7983.431709;"No";"Basic";"High School or Below";"Employed";"F";36014;"Rural";"Married";69;4;40;2;"Special Auto";173.956072;"Four-Door Car";"Medsize"
"Washington";4854.745666;"No";"Basic";"Bachelor";"Employed";"M";29834;"Suburban";"Single";64;19;44;3;"Personal Auto";307.2;"Four-Door Car";"Medsize"
"California";4293.997319;"No";"Premium";"Bachelor";"Disabled";"M";16701;"Suburban";"Married";113;20;26;1;"Personal Auto";831.625979;"Four-Door Car";"Small"
"Arizona";7164.395543;"No";"Extended";"College";"Employed";"F";46623;"Suburban";"Divorced";91;1;53;3;"Corporate Auto";436.8;"Four-Door Car";"Small"
"California";7619.5158;"No";"Basic";"College";"Employed";"M";64749;"Urban";"Married";64;24;59;2;"Special Auto";302.56519;"Four-Door Car";"Medsize"
"Arizona";3958.002823;"No";"Basic";"High School or Below";"Unemployed";"F";0;"Suburban";"Married";101;29;12;1;"Personal Auto";484.8;"SUV";"Small"
"Oregon";4499.493252;"No";"Extended";"High School or Below";"Disabled";"F";16969;"Suburban";"Divorced";124;34;47;1;"Personal Auto";704.768111;"SUV";"Medsize"
"Oregon";4059.567414;"No";"Premium";"Master";"Disabled";"F";11621;"Suburban";"Divorced";108;4;98;1;"Personal Auto";518.4;"Four-Door Car";"Medsize"
"Arizona";4458.113369;"Yes";"Basic";"Bachelor";"Retired";"M";17622;"Suburban";"Divorced";65;1;36;3;"Personal Auto";312;"Four-Door Car";"Medsize"
"California";8110.333139;"No";"Premium";"Bachelor";"Medical Leave";"F";11489;"Suburban";"Married";105;4;50;6;"Personal Auto";504;"Two-Door Car";"Small"
"Oregon";3339.764873;"No";"Extended";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";94;20;53;1;"Personal Auto";863.327324;"Two-Door Car";"Small"
"California";24261.01777;"No";"Basic";"High School or Below";"Employed";"F";66525;"Rural";"Married";100;0;86;2;"Personal Auto";104.331355;"SUV";"Medsize"
"Arizona";6613.973653;"No";"Basic";"Bachelor";"Unemployed";"F";0;"Suburban";"Single";63;21;28;2;"Personal Auto";676.391482;"Four-Door Car";"Large"
"Washington";2930.693543;"No";"Basic";"College";"Employed";"M";33663;"Suburban";"Married";73;29;71;1;"Personal Auto";350.4;"Four-Door Car";"Medsize"
"Oregon";8672.194272;"No";"Basic";"College";"Employed";"F";22547;"Suburban";"Divorced";112;7;60;3;"Corporate Auto";537.6;"SUV";"Medsize"
"Arizona";11638.66926;"No";"Extended";"High School or Below";"Employed";"F";61486;"Urban";"Married";97;5;65;2;"Personal Auto";465.258644;"Two-Door Car";"Small"
"Oregon";6846.150323;"Yes";"Extended";"Bachelor";"Unemployed";"F";0;"Suburban";"Divorced";95;13;20;5;"Personal Auto";456;"Two-Door Car";"Large"
"California";11727.77648;"No";"Premium";"College";"Disabled";"F";29879;"Suburban";"Married";102;17;0;2;"Personal Auto";500.254235;"Four-Door Car";"Medsize"
"Oregon";22643.83478;"No";"Basic";"High School or Below";"Employed";"M";93011;"Rural";"Divorced";113;17;12;2;"Personal Auto";281.451042;"SUV";"Medsize"
"Oregon";2614.474305;"No";"Basic";"Master";"Employed";"M";65186;"Rural";"Married";65;29;27;1;"Personal Auto";5.434505;"Two-Door Car";"Large"
"Oregon";2451.752695;"No";"Basic";"Master";"Medical Leave";"M";26840;"Suburban";"Married";64;1;47;1;"Personal Auto";307.2;"Four-Door Car";"Medsize"
"Oregon";6781.270203;"No";"Basic";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";104;30;3;5;"Personal Auto";982.399613;"Sports Car";"Medsize"
"Oregon";4974.801539;"Yes";"Basic";"Bachelor";"Employed";"M";75644;"Suburban";"Divorced";65;5;68;9;"Personal Auto";467.803638;"Two-Door Car";"Medsize"
"Oregon";8591.604933;"No";"Basic";"Bachelor";"Employed";"M";38984;"Suburban";"Married";73;27;38;2;"Personal Auto";350.4;"Four-Door Car";"Small"
"Oregon";5592.161392;"No";"Basic";"High School or Below";"Employed";"F";71811;"Rural";"Single";71;17;48;6;"Personal Auto";29.03416;"Four-Door Car";"Medsize"
"Nevada";8009.472833;"No";"Basic";"College";"Employed";"M";20961;"Suburban";"Married";67;20;33;2;"Personal Auto";321.6;"Four-Door Car";"Medsize"
"Washington";11318.08982;"No";"Extended";"College";"Employed";"M";38923;"Rural";"Married";99;6;83;2;"Personal Auto";115.728852;"Four-Door Car";"Medsize"
"California";58166.55351;"No";"Basic";"Bachelor";"Employed";"M";61321;"Rural";"Single";186;0;30;2;"Personal Auto";427.63121;"Luxury Car";"Small"
"California";8025.229358;"No";"Extended";"College";"Unemployed";"F";0;"Rural";"Single";77;20;26;2;"Personal Auto";25.807685;"Two-Door Car";"Large"
"California";5780.182197;"Yes";"Basic";"High School or Below";"Employed";"M";51066;"Suburban";"Single";74;23;0;8;"Personal Auto";787.993313;"Four-Door Car";"Medsize"
"California";4118.539113;"No";"Basic";"Doctor";"Employed";"M";34378;"Suburban";"Married";102;12;54;1;"Personal Auto";489.6;"SUV";"Medsize"
"Nevada";2523.07015;"No";"Basic";"Master";"Employed";"M";43072;"Suburban";"Married";63;35;15;1;"Personal Auto";302.4;"Four-Door Car";"Large"
"Oregon";6554.216396;"No";"Extended";"College";"Disabled";"F";25222;"Suburban";"Single";90;28;69;3;"Personal Auto";475.623251;"Four-Door Car";"Small"
"Washington";7703.397294;"No";"Basic";"High School or Below";"Employed";"M";36765;"Suburban";"Married";66;15;32;2;"Personal Auto";320.849072;"Four-Door Car";"Medsize"
"California";5926.729379;"Yes";"Extended";"College";"Retired";"M";23091;"Suburban";"Married";96;28;90;5;"Personal Auto";460.8;"Four-Door Car";"Medsize"
"California";2683.470677;"No";"Basic";"Bachelor";"Employed";"F";48269;"Urban";"Married";69;3;79;1;"Corporate Auto";282.151207;"Four-Door Car";"Medsize"
"Oregon";2695.182419;"No";"Basic";"Bachelor";"Employed";"F";32720;"Suburban";"Divorced";67;13;12;1;"Personal Auto";321.6;"Four-Door Car";"Medsize"
"California";6047.02516;"Yes";"Extended";"College";"Employed";"M";20396;"Suburban";"Married";76;15;60;4;"Personal Auto";364.8;"Four-Door Car";"Medsize"
"Oregon";13171.01282;"No";"Premium";"College";"Medical Leave";"M";21513;"Suburban";"Married";119;21;81;2;"Personal Auto";679.827592;"Two-Door Car";"Small"
"Washington";10656.88195;"Yes";"Extended";"Bachelor";"Employed";"F";72540;"Suburban";"Married";88;7;3;2;"Corporate Auto";631.743039;"Two-Door Car";"Medsize"
"Oregon";2527.653796;"No";"Basic";"Bachelor";"Employed";"F";80744;"Rural";"Married";63;24;84;1;"Corporate Auto";11.879037;"Four-Door Car";"Medsize"
"Oregon";2672.095756;"No";"Basic";"Bachelor";"Employed";"M";52822;"Suburban";"Married";67;23;88;1;"Corporate Auto";350.529033;"Two-Door Car";"Small"
"California";5313.294035;"No";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";77;8;10;9;"Personal Auto";863.3947;"Four-Door Car";"Medsize"
"Oregon";20946.19251;"No";"Basic";"Bachelor";"Employed";"F";69738;"Suburban";"Married";74;2;26;2;"Personal Auto";492.127532;"Four-Door Car";"Large"
"Arizona";8375.353929;"No";"Basic";"Master";"Medical Leave";"F";17780;"Rural";"Married";109;12;18;9;"Personal Auto";132.588288;"SUV";"Medsize"
"California";4801.661503;"No";"Basic";"Bachelor";"Medical Leave";"M";18107;"Suburban";"Married";62;29;11;8;"Personal Auto";297.6;"Four-Door Car";"Medsize"
"Arizona";5745.94334;"No";"Basic";"Bachelor";"Employed";"F";57740;"Urban";"Married";74;30;87;9;"Personal Auto";269.905129;"Four-Door Car";"Medsize"
"Oregon";6066.115969;"No";"Extended";"College";"Employed";"M";32627;"Suburban";"Married";76;11;60;7;"Personal Auto";380.036697;"Two-Door Car";"Small"
"California";8002.308333;"Yes";"Basic";"College";"Unemployed";"F";0;"Suburban";"Married";107;3;65;3;"Personal Auto";513.6;"SUV";"Medsize"
"California";2393.915369;"Yes";"Basic";"College";"Unemployed";"M";0;"Suburban";"Single";70;24;10;1;"Personal Auto";425.266308;"Four-Door Car";"Medsize"
"Oregon";4762.8179;"No";"Basic";"Bachelor";"Employed";"M";65795;"Rural";"Single";62;2;85;3;"Corporate Auto";49.011099;"Two-Door Car";"Medsize"
"California";4330.38602;"Yes";"Premium";"College";"Employed";"M";60475;"Suburban";"Married";107;9;18;1;"Personal Auto";513.6;"Four-Door Car";"Medsize"
"California";9402.729769;"No";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";130;28;88;4;"Personal Auto";936;"SUV";"Medsize"
"Oregon";6966.694527;"No";"Extended";"Bachelor";"Employed";"F";41837;"Rural";"Married";88;29;93;9;"Personal Auto";142.062768;"Four-Door Car";"Small"
"California";7694.064293;"No";"Basic";"Bachelor";"Employed";"F";32303;"Rural";"Married";65;13;34;2;"Personal Auto";45.152521;"Four-Door Car";"Medsize"
"Oregon";8717.561149;"No";"Basic";"High School or Below";"Unemployed";"M";0;"Suburban";"Married";117;5;89;3;"Personal Auto";561.6;"SUV";"Medsize"
"California";5928.748528;"No";"Basic";"Bachelor";"Employed";"F";40531;"Rural";"Married";74;17;32;9;"Personal Auto";30.567357;"Two-Door Car";"Medsize"
"Oregon";2452.977288;"No";"Basic";"College";"Employed";"M";79898;"Urban";"Married";62;5;86;1;"Corporate Auto";271.606799;"Four-Door Car";"Medsize"
"California";6701.571657;"No";"Extended";"College";"Employed";"M";56398;"Suburban";"Married";85;4;18;7;"Personal Auto";408;"Four-Door Car";"Small"
"Washington";7556.24034;"No";"Extended";"High School or Below";"Employed";"M";35257;"Suburban";"Divorced";98;16;2;8;"Corporate Auto";470.4;"Four-Door Car";"Small"
"Arizona";8492.6988;"No";"Basic";"College";"Employed";"M";27804;"Suburban";"Married";109;19;54;7;"Personal Auto";784.8;"SUV";"Medsize"
"Oregon";7713.494046;"No";"Basic";"Bachelor";"Employed";"M";45506;"Suburban";"Single";66;16;32;2;"Personal Auto";316.8;"Four-Door Car";"Medsize"
"Washington";24084.5352;"No";"Basic";"High School or Below";"Employed";"M";65196;"Suburban";"Married";67;0;54;2;"Personal Auto";396.082036;"Four-Door Car";"Medsize"
"California";7290.069769;"No";"Basic";"High School or Below";"Unemployed";"M";0;"Suburban";"Married";102;11;70;3;"Corporate Auto";489.6;"SUV";"Medsize"
"Oregon";4772.943848;"Yes";"Extended";"High School or Below";"Retired";"M";20993;"Suburban";"Divorced";133;35;90;1;"Personal Auto";638.4;"SUV";"Medsize"
"Arizona";6806.491395;"No";"Extended";"High School or Below";"Employed";"M";37839;"Suburban";"Married";86;35;77;9;"Personal Auto";465.633954;"Two-Door Car";"Medsize"
"California";2469.781334;"No";"Basic";"Bachelor";"Employed";"F";92711;"Suburban";"Single";62;24;10;1;"Personal Auto";368.400146;"Two-Door Car";"Medsize"
"California";3103.923041;"No";"Extended";"College";"Employed";"F";74665;"Urban";"Married";78;10;90;1;"Corporate Auto";236.902001;"Four-Door Car";"Medsize"
"Washington";2981.875575;"No";"Extended";"College";"Unemployed";"M";0;"Suburban";"Married";83;26;89;1;"Personal Auto";582.679087;"Two-Door Car";"Medsize"
"California";8902.737595;"No";"Basic";"Bachelor";"Employed";"M";46833;"Rural";"Married";112;6;3;9;"Personal Auto";64.109663;"Sports Car";"Medsize"
"Oregon";5499.447223;"No";"Basic";"High School or Below";"Employed";"F";88768;"Suburban";"Married";68;17;77;7;"Personal Auto";326.4;"Two-Door Car";"Small"
"California";15023.59858;"No";"Basic";"High School or Below";"Employed";"M";28262;"Suburban";"Single";192;9;77;3;"Personal Auto";921.6;"Luxury SUV";"Medsize"
"Nevada";2509.107875;"No";"Basic";"Bachelor";"Employed";"F";33555;"Rural";"Married";63;17;11;1;"Personal Auto";101.89645;"Four-Door Car";"Medsize"
"Oregon";31221.7481;"No";"Premium";"College";"Employed";"M";42780;"Suburban";"Divorced";113;10;27;2;"Personal Auto";542.4;"Four-Door Car";"Medsize"
"Oregon";3133.503432;"No";"Extended";"Master";"Employed";"F";58850;"Rural";"Single";78;20;26;1;"Personal Auto";143.747794;"Four-Door Car";"Medsize"
"Arizona";3837.451863;"No";"Extended";"College";"Employed";"M";21880;"Urban";"Married";97;29;37;1;"Special Auto";424.077159;"Four-Door Car";"Medsize"
"Oregon";11790.49617;"Yes";"Basic";"College";"Retired";"M";25251;"Suburban";"Divorced";66;13;43;2;"Personal Auto";316.8;"Four-Door Car";"Medsize"
"Washington";7838.068321;"No";"Basic";"Master";"Unemployed";"F";0;"Rural";"Married";69;9;12;2;"Personal Auto";2.704934;"Four-Door Car";"Medsize"
"Arizona";4305.808345;"No";"Basic";"High School or Below";"Employed";"M";24188;"Suburban";"Married";109;14;82;1;"Personal Auto";523.2;"Sports Car";"Medsize"
"Nevada";5973.976904;"No";"Basic";"Bachelor";"Employed";"F";41611;"Rural";"Married";74;14;8;8;"Special Auto";113.801497;"Four-Door Car";"Medsize"
"Oregon";5670.442396;"No";"Basic";"Bachelor";"Employed";"F";28406;"Urban";"Married";72;16;35;4;"Personal Auto";192.87572;"Four-Door Car";"Medsize"
"Arizona";4731.749346;"No";"Premium";"College";"Employed";"M";69833;"Suburban";"Married";118;32;99;1;"Personal Auto";828.662719;"Four-Door Car";"Small"
"Arizona";8026.379641;"No";"Basic";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";74;15;91;2;"Corporate Auto";532.8;"Four-Door Car";"Small"
"Arizona";4022.963529;"No";"Basic";"High School or Below";"Unemployed";"M";0;"Suburban";"Single";117;6;1;1;"Personal Auto";975.107098;"SUV";"Medsize"
"Oregon";9618.310865;"No";"Basic";"High School or Below";"Employed";"F";80536;"Rural";"Married";119;5;83;3;"Special Auto";53.798708;"Sports Car";"Medsize"
"Washington";2274.775451;"No";"Basic";"College";"Unemployed";"F";0;"Suburban";"Single";63;2;5;1;"Personal Auto";606.642452;"Four-Door Car";"Small"
"Oregon";9552.926922;"No";"Extended";"College";"Employed";"F";97732;"Urban";"Married";79;0;70;2;"Personal Auto";289.9122;"Four-Door Car";"Medsize"
"Arizona";10388.55323;"No";"Extended";"Bachelor";"Employed";"F";61222;"Urban";"Single";89;20;55;2;"Special Auto";392.604371;"Four-Door Car";"Small"
"Oregon";2470.121222;"No";"Basic";"College";"Unemployed";"M";0;"Suburban";"Single";74;7;20;1;"Personal Auto";721.242206;"Two-Door Car";"Large"
"Arizona";5619.068508;"No";"Premium";"Master";"Employed";"M";50335;"Urban";"Married";140;9;54;1;"Personal Auto";456.52385;"SUV";"Medsize"
"California";9047.119209;"No";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Single";127;30;11;6;"Personal Auto";1087.995426;"Sports Car";"Medsize"
"Washington";6692.143668;"No";"Premium";"High School or Below";"Employed";"M";63221;"Suburban";"Married";168;28;49;1;"Corporate Auto";806.4;"SUV";"Medsize"
"Oregon";3731.504584;"Yes";"Extended";"High School or Below";"Unemployed";"F";0;"Suburban";"Married";96;31;34;1;"Personal Auto";460.8;"Four-Door Car";"Large"
"Nevada";3660.770258;"No";"Extended";"Bachelor";"Employed";"M";64495;"Urban";"Married";92;34;30;1;"Corporate Auto";251.992083;"Four-Door Car";"Medsize"
"California";7928.829252;"No";"Basic";"College";"Unemployed";"F";0;"Suburban";"Married";72;7;75;2;"Corporate Auto";345.6;"Four-Door Car";"Medsize"
"Arizona";5011.751577;"No";"Basic";"Bachelor";"Employed";"F";28859;"Suburban";"Divorced";67;24;51;4;"Corporate Auto";321.6;"Two-Door Car";"Medsize"
"Arizona";7988.258292;"No";"Extended";"High School or Below";"Employed";"F";77330;"Rural";"Married";99;0;21;3;"Personal Auto";99.257608;"Four-Door Car";"Medsize"
"Oregon";3885.456401;"Yes";"Premium";"College";"Unemployed";"M";0;"Suburban";"Married";105;3;92;1;"Corporate Auto";504;"Four-Door Car";"Large"
"Washington";2659.337982;"No";"Basic";"Bachelor";"Employed";"M";24495;"Suburban";"Single";70;29;65;1;"Personal Auto";336;"Four-Door Car";"Small"
"Washington";8564.768226;"Yes";"Basic";"High School or Below";"Employed";"M";95697;"Rural";"Married";107;29;29;9;"Personal Auto";178.006524;"Sports Car";"Medsize"
"Arizona";4885.162511;"No";"Extended";"High School or Below";"Disabled";"M";26372;"Suburban";"Married";126;11;7;1;"Personal Auto";604.8;"SUV";"Medsize"
"Arizona";9753.307106;"No";"Extended";"Bachelor";"Medical Leave";"F";17514;"Rural";"Married";127;2;5;3;"Personal Auto";8.312729;"SUV";"Medsize"
"California";2946.153697;"No";"Basic";"Bachelor";"Employed";"F";89270;"Urban";"Single";74;17;90;1;"Personal Auto";316.599228;"Four-Door Car";"Medsize"
"California";2581.110945;"No";"Basic";"High School or Below";"Employed";"M";29757;"Suburban";"Married";65;13;55;1;"Personal Auto";312;"Four-Door Car";"Small"
"Oregon";3517.385764;"No";"Extended";"College";"Employed";"M";51814;"Rural";"Single";92;28;89;1;"Personal Auto";56.300724;"Four-Door Car";"Medsize"
"Oregon";9743.350113;"No";"Extended";"Bachelor";"Employed";"F";24028;"Suburban";"Married";82;14;27;2;"Personal Auto";393.6;"Four-Door Car";"Small"
"Arizona";3873.647046;"Yes";"Basic";"College";"Retired";"M";28142;"Suburban";"Married";105;18;50;1;"Personal Auto";701.708239;"Sports Car";"Medsize"
"Arizona";7649.28199;"No";"Basic";"Bachelor";"Employed";"F";52705;"Rural";"Married";64;14;8;2;"Personal Auto";128.705563;"Two-Door Car";"Large"
"California";2287.59692;"No";"Basic";"High School or Below";"Unemployed";"M";0;"Suburban";"Married";63;1;5;1;"Corporate Auto";679.368378;"Two-Door Car";"Medsize"
"Washington";4475.424592;"No";"Basic";"College";"Employed";"F";84903;"Urban";"Married";111;7;63;1;"Personal Auto";497.126827;"SUV";"Medsize"
"California";8714.922135;"Yes";"Basic";"College";"Unemployed";"F";0;"Suburban";"Divorced";118;14;64;4;"Personal Auto";566.4;"SUV";"Medsize"
"Washington";2248.449633;"Yes";"Basic";"Bachelor";"Retired";"F";24910;"Suburban";"Single";63;7;63;1;"Personal Auto";347.857619;"Four-Door Car";"Medsize"
"California";7416.197322;"No";"Extended";"Bachelor";"Unemployed";"M";0;"Suburban";"Single";77;15;12;2;"Personal Auto";554.4;"Four-Door Car";"Medsize"
"Oregon";7771.158973;"No";"Basic";"Master";"Medical Leave";"M";21876;"Suburban";"Married";68;12;28;2;"Personal Auto";465.41477;"Four-Door Car";"Small"
"California";6968.3419;"No";"Basic";"Bachelor";"Unemployed";"F";0;"Suburban";"Single";69;33;61;2;"Personal Auto";496.8;"Four-Door Car";"Small"
